platform_length,double_jump,bomb_spread,bomb_density,spike_length,Rank,Score
0.01454947,0,0.002244867,0.002279774,0.009076858,0.005630194,1
0.012459,0,0.002244867,0.003761065,0.001633261,0.004019639,3
0.01020001,0,0.002244867,0.007970685,0.001633261,0.004409764,2
0.01366764,0,0.002244867,0,0.001633261,0.003509153,1
0.01020001,0,0.002244867,0,0.001633261,0.002815627,1
0.01020001,0,0.002244867,0.0006310167,0.00811277,0.004237732,0
0,0.002729687,0.002244867,0.003069236,0.007615034,0.003131765,1
0.008608093,0.009249255,0.007802376,0.004700408,0.009118542,0.007895735,1
0.00970108,0.001072982,0.002244867,0.01038194,0.007624129,0.006204999,1
0.009483065,0.001072982,0.002244867,0,0.01204096,0.004968376,3
0.009483065,0.003326286,0.00985493,0,0.01202693,0.006938241,1
0.009483065,0.006347321,0.005846116,0.0004444178,0.007624129,0.00594901,1
0.01112231,0.006585731,0.002244867,0,0.007624129,0.005515408,1
0.009483065,0.001072982,0.002244867,0,0.007624129,0.004085009,1
0.009483065,0.001072982,0.002244867,0,0.007624129,0.004085009,0
0.009483065,0.001072982,0.002244867,0.00775274,0.007624129,0.005635557,0
0.01227668,0.009267858,0.01178603,0.01285602,0.01351494,0.01194031,2
0.01227668,0.009267858,0.009781584,0.008037056,0.01351494,0.01057562,2
0,0.01165526,0.009781584,0.008037056,0.01351494,0.008597768,0
0,0.009267858,0.01060244,0,0.01351494,0.006677049,1
0,0.009267858,0.009781584,0,0.01351494,0.006512878,1
0.001832281,0.009267858,0.009781584,0,0.01586764,0.007349873,0
0,0.009267858,0.009781584,0,0.01351494,0.006512878,1
1.802109E-05,0.01200869,0.009781584,0.008615127,0.01351494,0.008787674,0
0.0078951,0.009267858,0.0102543,0.002497171,0.01488453,0.008959793,1
0,0.009267858,0.009781584,0,0.01351494,0.006512878,1
0,0.009267858,0.009781584,0,0.01351494,0.006512878,0
0.008534042,0.0103291,0.009781584,0,0.01478555,0.008686056,0
0,0.01167442,0.0100474,0,0.01528586,0.007401536,1
0.005664551,0.01288812,0.01427884,0,0.01351494,0.009269292,1
0,0.01411711,0.01247055,0,0.01351494,0.008020522,1
0.003452847,0.009267858,0.009781584,0,0.01351494,0.007203446,1
0,0.01169629,0.009781584,0.009863069,0.01351494,0.008971177,1
0,0.009267858,0.009781584,0,0.01351494,0.006512878,1
0.003743948,0,0.009781584,0.006483097,0.01351494,0.006704715,0
0.002370578,0.007527957,0.009781584,0.002379733,0.01351494,0.007114959,1
0.0005966369,0,0.009781584,0,0.01351494,0.004778633,1
0,0,0.009781584,0,0.01351494,0.004659305,1
0,0,0.009781584,0,0.01351494,0.004659305,0
0.004878147,0,0.009781584,0,0.01351494,0.005634935,1
0,0,0.01354292,0,0.01351494,0.005411573,1
0.003119771,0.008646559,0.009781584,0.001158286,0.01351494,0.007244228,1
0.00590774,0,0.009781584,0.00257071,0.01602337,0.006856681,1
0,0,0.009781584,0,0.01351494,0.004659305,1
0.00727246,0.005413346,0.009781584,0,0.01665643,0.007824764,0
0,0.006127572,0.009781584,0.004769203,0.01456789,0.007049249,1
0,0,0.009781584,0,0.01351494,0.004659305,1
0,0.0007953988,0.01438014,0,0.01351494,0.005738096,0
0.004012003,0,0.009781584,0,0.01549182,0.005857081,1
0.002304465,0.003993506,0.009781584,0.001034277,0.01351494,0.006125755,1
0.009827765,0.009431347,0.009781584,0.00631614,0.01351494,0.009774355,1
0,0.007349901,0.009781584,0,0.01351494,0.006129286,1
0.002931857,0,0.009781584,0.003717398,0.01351494,0.005989157,1
0,0,0.009781584,0,0.01351494,0.004659305,1
0,0,0.009781584,0,0.01351494,0.004659305,1
0.002555089,0,0.009781584,0,0.01351494,0.005170323,0
0,0,0.009781584,0,0.01351494,0.004659305,1
0.001568902,0,0.009781584,0,0.01645711,0.005561518,0
0.008884314,0.009243062,0.009781584,0.009997524,0.01351494,0.01028429,1
0,0.002636584,0.01060244,0.00127086,0.01351494,0.005604967,1
0,0.002636584,0.009781584,0.001548775,0.01356497,0.005506382,2
0,0.002636584,0.009781584,0.001548775,0.01356497,0.005506382,2
0,0.008358787,0.0100474,0.001548775,0.01531087,0.007053165,0
0,0,0.009781584,0.001548775,0.01356497,0.004979066,1
0.001832281,0,0.009781584,0,0.01589266,0.005501305,1
0,0,0.009781584,0,0.01356497,0.004669311,1
0.001568902,0,0.009781584,0,0.01648212,0.005566522,0
0.004012003,0,0.009781584,0,0.01551683,0.005862084,1
0,0,0.009781584,0,0.01356497,0.004669311,1
0,0,0.009781584,0,0.01356497,0.004669311,1
0,0,0.009781584,0,0.01356497,0.004669311,0
0,0.0007953988,0.01438014,0,0.01356497,0.005748102,1
0,0,0.009781584,0,0.01356497,0.004669311,1
0.004878147,0,0.009781584,0,0.01356497,0.00564494,1
0.0078951,0,0.0102543,0.002497171,0.01490955,0.007111224,1
0.004473357,0.002789795,0.01362329,0,0.01499735,0.007176758,1
0.002355515,0.000498224,0.01325546,0,0.01356497,0.005934834,1
0.004970686,0,0.009781584,0,0.01356497,0.005663448,1
0.005179002,0,0.009781584,0,0.01356497,0.005705112,1
0,0,0.009781584,0.00214179,0.01356497,0.005097669,1
0.002555089,0,0.009781584,0,0.01356497,0.005180329,1
0,0,0.009781584,0,0.01356497,0.004669311,1
0,0.001547602,0.009781584,0.003488078,0.01356497,0.005676447,0
0,0,0.009781584,0,0.01356497,0.004669311,1
0.00741316,0,0.009781584,8.316431E-05,0.0160407,0.006663721,0
0,0.008333323,0.01359004,0.002504717,0.01356497,0.00759861,1
0,0.009092419,0.01362758,0,0.01356497,0.007256994,2
0,0.002623989,0.01359004,0,0.01356497,0.005955799,1
0,0.002623989,0.01359004,0,0.01356497,0.005955799,0
0,0.008256474,0.01596535,0,0.01356497,0.007557358,0
0,0.005193747,0.01454995,0.005685139,0.01356497,0.007798761,1
0,0.007439566,0.01369026,0.009187947,0.0145929,0.008982135,1
0.0005134307,0.002623989,0.01369026,0.01306771,0.01356497,0.008692072,2
0,0.002623989,0.01369026,0.009847973,0.01356497,0.007945439,1
0.002620709,0.002623989,0.01369026,0.01053208,0.01356497,0.008606402,1
0.002620709,0.002623989,0.01369026,0.008883856,0.01356497,0.008276757,2
0.009918448,0.01056125,0.01369026,0.009142336,0.0150844,0.01167934,0
0.008786839,0.002623989,0.01369026,0.004736183,0.01483729,0.008934913,1
0.002620709,0.002623989,0.01369026,0.004736183,0.01356497,0.007447222,1
0.002620709,0.002623989,0.01369026,0.004736183,0.01356497,0.007447222,1
