platform_length,double_jump_frequency,sawblade_spread,sawblade_density,spike_length,trap_frequency,slide_length,Entry Rank,Highest Rank,Final Rank,Score
0.067067,0.01794038,0.007939205,0.04506418,0.03521026,0.05927138,0.03606379,0,0.04607664,0.03836517,7
0.1049596,0.03890041,0.02779844,0.07616698,0.05438264,0.09195831,0.05446905,0.03836517,0.06409077,0.06409077,4
0.1703304,0.05412077,0.03121052,0.1138857,0.08578837,0.1468825,0.08408613,0.06409077,0.1066639,0.09804349,7
0.1979183,0.06936013,0.01907727,0.1209547,0.09881169,0.1694837,0.09682972,0.09804349,0.1162978,0.1103479,3
0.2070467,0.07356831,0,0.1139243,0.1038483,0.17688,0.100733,0.1103479,0.1163009,0.1108572,1
0.225207,0.08184388,0,0.1141697,0.1115902,0.1914889,0.1084122,0.1108572,0.1224185,0.1189588,2
0.3049865,0.1027776,0.04633594,0.1772542,0.1480202,0.2538175,0.1423909,0.1189588,0.1708885,0.1679404,9
0.3222333,0.1104125,0.03097723,0.1731448,0.1576504,0.2669082,0.1499021,0.1679404,0.1791505,0.1730327,2
0.3561445,0.1296856,0.02288892,0.1817145,0.1752373,0.2922814,0.1630579,0.1730327,0.1950998,0.1887157,4
0.3810408,0.142471,0.03718716,0.2013877,0.162271,0.3106207,0.1732728,0.1887157,0.2047608,0.2011788,3
0.3810408,0.142471,0.01005171,0.1834313,0.162271,0.3106207,0.1732728,0.2011788,0.2011788,0.1947371,0
0.3810408,0.142471,0.01005171,0.1834313,0.162271,0.3106207,0.1732728,0.1947371,0.1947371,0.1947371,0
0.3892257,0.1481294,0.01608248,0.1900375,0.16557,0.3165963,0.1763775,0.1947371,0.2002884,0.2002884,1
0.421393,0.1657473,0.008984219,0.1970435,0.1822702,0.3398247,0.1886918,0.2002884,0.2213932,0.2148507,4
0.4371314,0.1630285,0,0.1914999,0.1882743,0.3510737,0.194573,0.2148507,0.2245382,0.2179401,2
0.4371314,0.1542872,0,0.1741005,0.1882743,0.3510737,0.194573,0.2179401,0.2179401,0.2142057,0
0.4901605,0.1852363,0.03512461,0.21952,0.1915859,0.3883471,0.2143023,0.2142057,0.2499363,0.2463253,7
0.5399535,0.2146717,0.03968889,0.2403437,0.2197918,0.4227153,0.2344001,0.2463253,0.280252,0.2730807,7
0.5467933,0.2066879,0.04423322,0.2463254,0.2238849,0.427391,0.2369362,0.2730807,0.277564,0.276036,1
0.5535653,0.1859427,0.04939857,0.2522387,0.2285663,0.4320165,0.2394502,0.276036,0.2809781,0.2773112,1
0.5864131,0.2048334,0.05036204,0.2584881,0.2497525,0.4544055,0.2530642,0.2773112,0.3004836,0.2939027,5
0.6033619,0.2144318,0.07724348,0.292208,0.2766498,0.4796264,0.2286633,0.2939027,0.3203028,0.3103121,6
0.6033619,0.2144318,0.04784329,0.2691684,0.2766498,0.4796264,0.2286633,0.3103121,0.3103121,0.3028207,0
0.6033619,0.2144318,0.04784329,0.2691684,0.2766498,0.4796264,0.2286633,0.3028207,0.3028207,0.3028207,0
0.6336049,0.2377907,0.07455339,0.2968477,0.2665225,0.4994002,0.2426756,0.3028207,0.3255586,0.3216279,5
0.6452415,0.2427824,0.05396462,0.2835669,0.2734999,0.5070129,0.2475839,0.3216279,0.3295088,0.3219503,2
0.6452415,0.2427824,0.05396462,0.2835669,0.2509296,0.5070129,0.2475839,0.3219503,0.3219503,0.318726,0
0.6566107,0.221877,0.06446572,0.2944859,0.2609766,0.5144436,0.2525814,0.318726,0.327613,0.3236344,2
0.6566107,0.221877,0.06446572,0.2944859,0.2609766,0.5144436,0.2525814,0.3236344,0.3236344,0.3236344,0
0.6566107,0.221877,0.06446572,0.2944859,0.2363695,0.5144436,0.2525814,0.3236344,0.3236344,0.3201191,0
0.6677315,0.2313192,0.0500661,0.2814113,0.2426091,0.5217516,0.2573233,0.3201191,0.3284168,0.3217446,2
0.6677315,0.2313192,0.0500661,0.2814113,0.2156703,0.5217516,0.2573233,0.3217446,0.3217446,0.3178962,0
0.6731957,0.2359592,0.05449223,0.2869264,0.1928004,0.5253326,0.2596648,0.3178962,0.3222581,0.3183388,1
0.6731957,0.2359592,0.02637176,0.2641856,0.1928004,0.5253326,0.2596648,0.3183388,0.3183388,0.3110729,0
0.6731957,0.208894,0,0.2428426,0.1928004,0.5253326,0.2596648,0.3110729,0.3110729,0.30039,0
0.6839239,0.2104863,0.009942438,0.254689,0.2016518,0.5323813,0.2642903,0.30039,0.3087538,0.308195,2
0.7196302,0.2292214,0.0160746,0.2709157,0.2337953,0.5559322,0.2816595,0.308195,0.336841,0.3296041,7
0.7196302,0.2292214,0.0160746,0.2709157,0.2148741,0.5559322,0.2816595,0.3296041,0.3296041,0.3269011,0
0.7480341,0.2364469,0.02718716,0.2800782,0.2437678,0.5747987,0.2948352,0.3269011,0.3514171,0.3435926,6
0.7615269,0.2459645,0.01604851,0.2732056,0.2562502,0.58385,0.3010793,0.3435926,0.3555322,0.348275,3
0.7787846,0.2555884,0.0109111,0.2720757,0.2678825,0.5955278,0.3095164,0.348275,0.3626871,0.3557552,4
0.7871491,0.2318327,0,0.2607571,0.2725871,0.6012269,0.3136282,0.3557552,0.362765,0.3524545,2
0.7953241,0.2098069,0.009942438,0.2722465,0.2770052,0.6068201,0.3174323,0.3524545,0.3593854,0.355511,2
0.8072205,0.2140285,0.001405131,0.2660915,0.2841605,0.6149899,0.3230384,0.355511,0.3659723,0.3587049,3
0.8111137,0.2127952,0,0.249874,0.2900288,0.617655,0.3251232,0.3587049,0.3628437,0.3580843,1
0.8224883,0.2301606,0,0.2456586,0.3022887,0.625509,0.3310157,0.3580843,0.3707776,0.365303,3
0.8224883,0.2034272,0,0.2252371,0.3022887,0.625509,0.3310157,0.365303,0.365303,0.3585666,0
0.8262193,0.2062427,0.005156029,0.2313742,0.3063873,0.6280814,0.3328039,0.3585666,0.3623235,0.3623235,1
0.8335393,0.1901192,0,0.2231321,0.3136289,0.6331511,0.3363442,0.3623235,0.370163,0.3614164,2
0.8371289,0.1684597,0.005,0.2293023,0.3181032,0.6356529,0.3388633,0.3614164,0.3653015,0.3617872,1
0.8371289,0.1452721,0,0.2097594,0.3181032,0.6356529,0.3388633,0.3617872,0.3617872,0.3549685,0
0.844214,0.1520116,0.009942438,0.2223102,0.3076109,0.6405952,0.3423233,0.3549685,0.3627988,0.3598582,2
0.851156,0.1586139,0,0.214752,0.3159501,0.6454441,0.3464893,0.3598582,0.367497,0.3617722,2
0.8545885,0.1618649,0,0.2019095,0.3219691,0.6478465,0.3484015,0.3617722,0.3658103,0.3623686,1
0.8545885,0.1390545,0,0.18384,0.3219691,0.6478465,0.3484015,0.3623686,0.3623686,0.3565286,0
0.8646656,0.1493024,0.01603124,0.2033666,0.3370208,0.6549347,0.3536124,0.3565286,0.3684191,0.3684191,3
