platform_length,double_jump_frequency,sawblade_spread,sawblade_density,spike_length,trap_frequency,Entry Rank,Highest Rank,Final Rank,Score
0.2625578,0.2181468,0.26126,0.246628,0.2680236,0.2583484,0,0.2524941,0.2524941,9
0.3093638,0,0.3041725,0.2942092,0.3262159,0.3133178,0.2524941,0.3071522,0.2578799,5
0.3121245,0.05,0.3070982,0.297479,0.3285009,0.3159589,0.2578799,0.2685269,0.2685269,1
0.4916116,0,0.501093,0.4229754,0.462051,0.4075849,0.2685269,0.4302496,0.380886,8
0.5445383,0.2356576,0.5548897,0.5029134,0.5263116,0.5090278,0.380886,0.4788898,0.4788898,5
0.5447273,0,0.5550575,0.5032183,0.5265446,0.509312,0.4788898,0.480123,0.4398099,1
0.5474022,0,0.5573642,0.511413,0.5394149,0.5227858,0.4398099,0.4629494,0.4463967,2
0.5475851,0.05,0.5575274,0.5116895,0.5396154,0.5230284,0.4463967,0.4549077,0.4549077,1
0.619671,0.1827313,0.6332857,0.5663692,0.6394635,0.5899579,0.4549077,0.5385798,0.5385798,4
0.6519485,0.2806434,0.6876035,0.6062279,0.7001893,0.6464821,0.5385798,0.5955158,0.5955158,4
