platform_length,double_jump_frequency,sawblade_spread,sawblade_density,spike_length,trap_frequency,slide_length,Entry Rank,Highest Rank,Final Rank,Score,
0.07001679,0.04717306,0.04711701,0.05258011,0.04632908,0.06031428,0.04298533,0,0.05235938,0.05235938,9,
0.09944469,0.06470789,0.06748772,0.07426611,0.0650673,0.08531975,0.06070705,0.05235938,0.07385721,0.07385721,4,
0.127778,0.08146513,0.08427316,0.09497286,0.06187414,0.1092334,0.07764092,0.07385721,0.09420615,0.09103394,4,
0.1682195,0.109639,0.08548588,0.09774219,0.09090824,0.1431299,0.1016601,0.09103394,0.1215051,0.1138264,6,
0.181168,0.09683971,0.07165711,0.08210117,0.1011476,0.1539335,0.1093192,0.1138264,0.1234526,0.113738,2,
0.1875512,0.1007429,0.05367287,0.06287553,0.1050037,0.1592521,0.1130865,0.113738,0.11851,0.1117407,1,
0.2358991,0.132739,0.06152512,0.07900865,0.1396923,0.1995117,0.1424612,0.1117407,0.1494874,0.1415481,8,
0.2474083,0.1397375,0.04440901,0.06488752,0.1468388,0.2090494,0.1492584,0.1415481,0.1502715,0.1430841,2,
0.2474083,0.1317431,0.02007953,0.04179717,0.1468388,0.2090494,0.1492584,0.1430841,0.1430841,0.1351678,0,
0.2474083,0.1317431,0,0.02003399,0.1468388,0.2090494,0.1492584,0.1351678,0.1351678,0.1291903,0,
0.2640998,0.1444627,0.01567723,0.03748092,0.1400735,0.2229001,0.1591949,0.1291903,0.143463,0.1405556,3,
0.2854984,0.1513868,0.0358927,0.05985827,0.1587347,0.2406436,0.1719813,0.1405556,0.1589483,0.1577137,4,
0.3008683,0.1612589,0.03002915,0.05227698,0.1751352,0.2534076,0.1812418,0.1577137,0.1714085,0.1648883,3,
0.3058788,0.1415231,0.01342448,0.03512722,0.1787313,0.2575668,0.1842684,0.1648883,0.1690579,0.1595029,1,
0.3253926,0.1325968,0.03301748,0.0576181,0.1971113,0.2737699,0.196086,0.1595029,0.1768588,0.173656,4,
0.3253926,0.111446,0.03301748,0.0576181,0.1971113,0.2737699,0.196086,0.173656,0.173656,0.1706345,0,
0.3485403,0.12208,0.03569175,0.06011918,0.2174181,0.2930839,0.2102398,0.1706345,0.1917183,0.1838819,5,
0.3574087,0.1341276,0.04664223,0.0709229,0.199098,0.3004898,0.2159052,0.1838819,0.1928756,0.1892278,2,
0.3574087,0.1263053,0.04664223,0.0709229,0.199098,0.3004898,0.2159052,0.1892278,0.1892278,0.1881103,0,
0.3660827,0.1306768,0.0555216,0.08148905,0.210671,0.307791,0.2212821,0.1881103,0.1966108,0.1962163,2,3
0.3703388,0.1150995,0.05988584,0.08668169,0.2157509,0.3113731,0.224921,0.1962163,0.2007742,0.1977216,1,2.6
0.3787206,0.1018861,0.07044766,0.09688836,0.2261267,0.3184193,0.2301369,0.1977216,0.2061728,0.2032322,2,2.5
0.3787206,0.1018861,0.04952681,0.07195054,0.2261267,0.3184193,0.2301369,0.2032322,0.2032322,0.196681,0,2.3
0.3787206,0.1018861,0.02168812,0.04847067,0.2261267,0.3184193,0.2301369,0.196681,0.196681,0.1893498,0,2
0.3869259,0.08967355,0.03113462,0.05953729,0.2356076,0.3253237,0.2352612,0.1893498,0.1976186,0.1947806,2,2
0.3989075,0.1037514,0.04700849,0.07566658,0.221981,0.3354232,0.2429575,0.1947806,0.2074329,0.2036708,3,2.1
0.3989075,0.1037514,0.04700849,0.07566658,0.199279,0.3354232,0.2429575,0.2036708,0.2036708,0.2004277,0,1.7
0.4216731,0.113581,0.05424775,0.08080528,0.2284001,0.3547308,0.2575896,0.2004277,0.2261603,0.2158611,6,1.9
0.4498941,0.1575144,0.06306985,0.09441043,0.2651812,0.3787961,0.2764498,0.2158611,0.248847,0.2407594,8,2.3
0.4631605,0.1470703,0.05849792,0.08826543,0.2810341,0.3901517,0.2856344,0.2407594,0.2551381,0.2448306,4,2.5
0.4664009,0.1421081,0.06336758,0.09337163,0.2834431,0.3929124,0.2877502,0.2448306,0.2482407,0.2470506,1,2.4
0.4696188,0.1257628,0.06934775,0.09842353,0.2873291,0.3956811,0.2898498,0.2470506,0.2511458,0.2480019,1,2.25
0.4759322,0.1117391,0.05054627,0.08274694,0.2921417,0.4010756,0.2940014,0.2480019,0.2545889,0.2440262,2,2.2
0.4851902,0.1043704,0.06732831,0.098086,0.3011816,0.4090215,0.3001123,0.2440262,0.2551459,0.2521844,3,2.3
0.4530761,0.1011253,0.0720549,0.1030836,0.3066537,0.4116554,0.262834,0.2521844,0.2559976,0.2443547,1,2.15
0.4597171,0.106368,0.08244613,0.1129122,0.3157346,0.4168126,0.2676885,0.2443547,0.2526996,0.2516684,2,2.25
0.466226,0.09836669,0.07107295,0.09609917,0.3224395,0.4218711,0.2721843,0.2516684,0.2594019,0.2497514,2,2.1
0.466226,0.09599739,0.07107295,0.09609917,0.3224395,0.4218711,0.2721843,0.2497514,0.2497514,0.2494129,0,2
0.4694234,0.1021724,0.05687236,0.07592928,0.3272399,0.4243699,0.2744054,0.2494129,0.2535388,0.2472018,1,2.05
0.4694234,0.1021724,0.05687236,0.07592928,0.303107,0.4243699,0.2744054,0.2472018,0.2472018,0.2437542,0,1.95
0.4725763,0.1060173,0.06176978,0.08118486,0.2789641,0.4268287,0.2766088,0.2437542,0.2475455,0.2434214,1,1.95
0.4725763,0.1060173,0.06176978,0.08118486,0.2536713,0.4268287,0.2766088,0.2434214,0.2434214,0.2398082,0,1.85
0.4850257,0.1025958,0.08245548,0.1015947,0.2730083,0.4366079,0.2859439,0.2398082,0.2554082,0.2524617,4,2.05
0.4850257,0.1025958,0.05822361,0.07637429,0.2730083,0.4366079,0.2859439,0.2524617,0.2524617,0.2453971,0,2.05
0.4880317,0.1064361,0.06255727,0.0816253,0.277984,0.4389731,0.2880574,0.2453971,0.249095,0.249095,1,2
0.4969347,0.1177091,0.07873052,0.09700568,0.266467,0.4459976,0.2945633,0.249095,0.2603754,0.2567725,3,2
0.4969347,0.09739025,0.0559756,0.07204799,0.266467,0.4459976,0.2945633,0.2567725,0.2567725,0.2470538,0,2
0.4969347,0.07818943,0.0559756,0.07204799,0.266467,0.4459976,0.2945633,0.2470538,0.2470538,0.2443108,0,1.7
0.4998803,0.08229885,0.03392373,0.05351214,0.271433,0.4483193,0.297462,0.2443108,0.2482021,0.2409756,1,1.35
0.4998803,0.08229885,0.03392373,0.05351214,0.2502706,0.4483193,0.297462,0.2409756,0.2409756,0.2379524,0,1.15
0.4671854,0.05858987,0.03980943,0.05901733,0.2562864,0.4506277,0.2607359,0.2379524,0.2425553,0.2274646,1,1.15
0.4828958,0.08201151,0.04454941,0.06130997,0.2778822,0.4617252,0.2725567,0.2274646,0.2469544,0.2404187,5,1.35
