Długość platformy,Częstotliwość podwójnego skoku,Rozpiętość pił,Ilość pił,Długość kolców,Częstotliwość pułapek,Długość ślizgania,Entry Rank,Highest Rank,Final Rank,Score
0,0,0,0,0,0,0,0,0,0,0
0.03427737,0.0377939,0.0359369,0.03678162,0.03613858,0.0338151,0.0338151,0,0.03550837,0.03550837,7
0.08628719,0.09146886,0.08680689,0.08756422,0.09146544,0.08175645,0.08359238,0.03550837,0.08796209,0.08699163,11
0.08628719,0.07258952,0.08680689,0.08756422,0.09146544,0.08175645,0.08359238,0.08699163,0.08699163,0.08429458,0
0.1043405,0.07239242,0.1026525,0.1047546,0.1084785,0.09776701,0.100657,0.08429458,0.1014158,0.09872035,4
0.1043405,0.04326335,0.07198606,0.07661927,0.1084785,0.09776701,0.100657,0.09872035,0.09872035,0.0861588,0
0.1244029,0.06752074,0.09531984,0.09893878,0.1070803,0.1168132,0.1195499,0.0861588,0.1074966,0.1042322,5
0.1244029,0.06151657,0.09531984,0.09893878,0.1070803,0.1168132,0.1195499,0.1042322,0.1042322,0.1033745,0
0.1366665,0.04922921,0.1089561,0.1125566,0.1227076,0.1277555,0.1304057,0.1033745,0.1168228,0.112611,3
0.1532897,0.06891912,0.1266698,0.1290434,0.1422013,0.1418126,0.1443534,0.112611,0.1294699,0.1294699,4
0.1532897,0.06891912,0.1036446,0.1009763,0.1422013,0.1418126,0.1443534,0.1294699,0.1294699,0.122171,0
0.1572723,0.07538403,0.107501,0.1051659,0.1456202,0.1452355,0.1488446,0.122171,0.1264319,0.1264319,1
0.1773858,0.09563246,0.1013193,0.1000369,0.1672543,0.1618302,0.1655991,0.1264319,0.1467926,0.1384369,5
0.1866895,0.1094919,0.1131492,0.1124687,0.1543551,0.1713895,0.1750469,0.1384369,0.1492699,0.1460844,3
0.1935617,0.1217446,0.09477483,0.0944537,0.1631885,0.1776052,0.181191,0.1460844,0.1544463,0.1466457,2
0.2258336,0.1337105,0.133819,0.1325122,0.1987442,0.2012904,0.2046108,0.1466457,0.1790011,0.1757887,8
0.2258336,0.1337105,0.104539,0.1058166,0.1987442,0.2012904,0.2046108,0.1757887,0.1757887,0.1677922,0
0.2390488,0.12062,0.09810526,0.09745904,0.2157727,0.2127451,0.216255,0.1677922,0.1835802,0.1714294,4
0.2603593,0.1441507,0.1280457,0.125675,0.2195505,0.2306198,0.2320811,0.1714294,0.1950012,0.1914974,6
0.2816449,0.1431544,0.1287551,0.1240375,0.2455312,0.2474459,0.2480291,0.1914974,0.2137931,0.2026569,6
0.3005351,0.1419154,0.1541666,0.1504546,0.2698576,0.2630957,0.2631454,0.2026569,0.2254012,0.2204529,6
0.3086852,0.1485236,0.1337625,0.1336895,0.2785061,0.2705036,0.2702499,0.2204529,0.2302604,0.22056,3
0.3232328,0.1649541,0.1310313,0.1266568,0.2977542,0.2834656,0.2832766,0.22056,0.2374673,0.2300531,5
0.3232328,0.1561487,0.1310313,0.1266568,0.2977542,0.2834656,0.2832766,0.2300531,0.2300531,0.2287951,0
0.3506536,0.1877478,0.1696159,0.1628263,0.3082306,0.3045078,0.3004409,0.2287951,0.2585021,0.2548604,8
0.3631736,0.2015502,0.1860614,0.1797954,0.2975327,0.3144397,0.3090915,0.2548604,0.2684838,0.2645207,4
0.3631736,0.2015502,0.1629624,0.1504886,0.2975327,0.3144397,0.3090915,0.2645207,0.2645207,0.2570341,0
0.3801801,0.2192325,0.1908534,0.1763199,0.3244672,0.3286476,0.320821,0.2570341,0.2788188,0.2772174,6
0.391641,0.218589,0.1747416,0.1623738,0.3402402,0.3382004,0.3303582,0.2772174,0.2900961,0.2794492,4
0.391641,0.2078466,0.1459831,0.1343798,0.3402402,0.3382004,0.3303582,0.2794492,0.2794492,0.269807,0
0.3986912,0.2250612,0.1374387,0.1233533,0.3514678,0.3450924,0.3374565,0.269807,0.2814682,0.2740802,4
0.3986912,0.2140652,0.106301,0.09701901,0.3514678,0.3450924,0.3374565,0.2740802,0.2740802,0.264299,0
0.4008692,0.2167826,0.1109024,0.1019608,0.3325464,0.3467874,0.3392015,0.264299,0.2672392,0.2641501,1
0.4113496,0.2027733,0.09977423,0.09581774,0.346422,0.3555188,0.3475628,0.2641501,0.2772599,0.2656026,4
0.4149989,0.2105304,0.08844887,0.08030047,0.3508822,0.3587655,0.3516507,0.2656026,0.2714265,0.2650824,2
0.4394318,0.2264815,0.1287815,0.1251854,0.3885552,0.3794452,0.3678095,0.2650824,0.2976882,0.29367,9
0.4423807,0.2068138,0.1129281,0.1070489,0.391567,0.382404,0.3709056,0.29367,0.2988233,0.2877212,2
0.4492562,0.2229677,0.1052204,0.09886102,0.401778,0.3892487,0.3769876,0.2877212,0.2992463,0.2920457,4
0.4699041,0.2610226,0.1198965,0.1168316,0.432107,0.4080842,0.3931682,0.2920457,0.3231322,0.3144306,10
