platform_length,double_jump_frequency,sawblade_spread,sawblade_density,spike_length,trap_frequency,slide_length,Entry Rank,Highest Rank,Final Rank,Score
0.0718038,0.03600182,0.03292514,0.04549441,0.0311212,0.07219377,0.03024499,0,0.04568359,0.04568359,8
0.09648976,0.0485875,0.04540947,0.06151108,0.01702253,0.09702037,0.04108753,0.04568359,0.06180875,0.05816117,3
0.1277449,0.06242285,0.03366112,0.05707108,0.03206082,0.1284513,0.05515132,0.05816117,0.07828511,0.07093763,4
0.1352938,0.06581623,0.03727696,0.06234635,0.01022199,0.1360368,0.05859979,0.07093763,0.07586563,0.07222743,1
0.1985547,0.07688525,0.07210205,0.1073163,0.0461418,0.1996082,0.08849912,0.07222743,0.1163298,0.1127296,9
0.2428287,0.07421979,0.06934801,0.1139801,0.07412957,0.2440724,0.1104451,0.1127296,0.1440466,0.1327177,7
0.2722162,0.09050905,0.08764927,0.1369123,0.06830165,0.2735699,0.1254825,0.1327177,0.1543305,0.150663,5
0.2778894,0.06858063,0.09178702,0.1413676,0.07170101,0.2792677,0.1284296,0.150663,0.154877,0.151289,1
0.289046,0.07525051,0.07347403,0.1244792,0.07978935,0.2904601,0.1342656,0.151289,0.1597614,0.1523949,2
0.3052829,0.0850727,0.08513555,0.13806,0.090978,0.3067412,0.1428773,0.1523949,0.1648782,0.1648782,3
0.3105714,0.08829939,0.06156489,0.1168973,0.09534306,0.3120418,0.1457109,0.1648782,0.1689754,0.1614898,1
0.321023,0.096407,0.04309364,0.100708,0.1017688,0.3225338,0.151324,0.1614898,0.1696618,0.1624083,2
0.321023,0.096407,0.04309364,0.100708,0.1017688,0.3225338,0.151324,0.1624083,0.1624083,0.1624083,0
0.321023,0.07126319,0.04309364,0.100708,0.1017688,0.3225338,0.151324,0.1624083,0.1624083,0.1588163,0
0.3509731,0.09086665,0.06588144,0.1288359,0.1241219,0.3525658,0.1681812,0.1588163,0.1830609,0.1830609,6
0.3791469,0.08602579,0.08835761,0.1553729,0.146628,0.3808074,0.1839936,0.1830609,0.206518,0.2029046,6
0.3881688,0.09244241,0.0947512,0.1638904,0.1540365,0.3898508,0.1891397,0.2029046,0.2103257,0.2103257,2
0.3970258,0.09876802,0.1022962,0.1722579,0.1606856,0.3987342,0.1942258,0.2103257,0.2177134,0.2177134,2
0.4057544,0.105005,0.1100567,0.1804895,0.1661116,0.4074959,0.1992532,0.2177134,0.2248809,0.2248809,2
0.4100378,0.08449609,0.1140708,0.1845428,0.1687996,0.4117848,0.2017453,0.2248809,0.2286794,0.2250682,1
0.4309001,0.1004213,0.1325143,0.2042934,0.1582384,0.432684,0.2139958,0.2250682,0.2426302,0.2390068,5
0.4846761,0.1329089,0.154726,0.2288447,0.2112781,0.4866311,0.2466679,0.2390068,0.2891746,0.2779618,14
0.4919017,0.1386863,0.1339883,0.2097135,0.2161684,0.4938823,0.251125,0.2779618,0.2840166,0.2764951,2
0.4919017,0.1131276,0.1339883,0.2097135,0.2161684,0.4938823,0.251125,0.2764951,0.2764951,0.2728438,0
0.4919017,0.1131276,0.1339883,0.2097135,0.1894826,0.4938823,0.251125,0.2728438,0.2728438,0.2690316,0
0.4989709,0.1191675,0.1417976,0.2172854,0.1700771,0.500964,0.2555365,0.2690316,0.275782,0.2719713,2
0.4989709,0.09752574,0.1150807,0.1910237,0.1700771,0.500964,0.2555365,0.2719713,0.2719713,0.2613112,0
0.5093817,0.1068745,0.09974797,0.1766631,0.1812482,0.5114067,0.26207,0.2613112,0.2713782,0.2639132,3
0.5128011,0.0829996,0.1028806,0.1807513,0.1848799,0.5148329,0.264226,0.2639132,0.2671885,0.2633388,1
0.5294997,0.07550218,0.09623921,0.1745273,0.203476,0.5315858,0.2757396,0.2633388,0.2805289,0.2695099,5
0.5294997,0.07550218,0.070408,0.1486306,0.203476,0.5315858,0.2757396,0.2695099,0.2695099,0.2621203,0
0.5732304,0.09582703,0.09589299,0.1798149,0.2500608,0.5754912,0.3054978,0.2621203,0.3077159,0.296545,14
