D?ugo?? przed?u?e?,Cz?stotliwo?c podwójnego skoku,Rozpi?to?c pi?,Ilo?? pi?,D?ugo?? kolców,Cz?stotliwo?c pu?apek,D?ugo?? ?lizgania,Entry Rank,Highest Rank,Final Rank,Score,
0.01618548,0.02443118,0.02909596,0.02953956,0.03053474,0.04557857,0,0,0.03121119,0.02505221,5,1
0.0151524,0.0200366,0.04141017,0.04070537,0.04132401,0.06309853,0,0.02505221,0.0374147,0.0316753,2,2
0.01274188,0.01828844,0.05613146,0.05682619,0.05481518,0.08768489,0,0.0316753,0.04827201,0.04092687,3,3
0.09977418,0.09497331,0.1131579,0.1059213,0.1339083,0.1976193,0.0734789,0.04092687,0.1245388,0.1169762,16,4
0.1120663,0.1072781,0.1245966,0.1154485,0.121448,0.2147008,0.08175645,0.1169762,0.1286025,0.1253278,2,5
0.08451547,0.08753598,0.1245966,0.1154485,0.121448,0.2147008,0.05210499,0.1253278,0.1253278,0.1143358,0,6
0.08914905,0.09154162,0.1052554,0.09298112,0.1271242,0.2197318,0.05650797,0.1143358,0.1191568,0.1117559,1,7
0.08914905,0.09154162,0.1052554,0.09298112,0.1053623,0.2197318,0.05650797,0.1117559,0.1117559,0.108647,0,8
0.0652895,0.07265835,0.1052554,0.09298112,0.1053623,0.2197318,0.02827334,0.108647,0.108647,0.09850741,0,9
0.08982901,0.09305483,0.1295229,0.1167162,0.1068181,0.247089,0.05111953,0.09850741,0.1222876,0.1191642,5,10
0.1402916,0.1210719,0.155643,0.1352195,0.1564483,0.3105465,0.09703546,0.1191642,0.1698378,0.1594652,11,11
0.1608091,0.1398429,0.172598,0.1527411,0.1469568,0.3372025,0.1123863,0.1594652,0.1787614,0.1746481,4,12
0.1737265,0.1545208,0.1870967,0.1652232,0.1372171,0.3532,0.1234692,0.1746481,0.1884702,0.184922,3,13
0.18262,0.1632791,0.1708381,0.143928,0.1463388,0.3637654,0.1306621,0.184922,0.1939071,0.1859188,2,14
0.1894801,0.1740606,0.1548951,0.123962,0.1557554,0.3712188,0.1377039,0.1859188,0.1941631,0.1867251,2,15
0.2007365,0.1854192,0.169203,0.1374612,0.1420392,0.3845289,0.1479934,0.1867251,0.1987938,0.1953402,3,16
0.2075233,0.1913628,0.1512893,0.1180544,0.1508288,0.3922856,0.1546773,0.1953402,0.203085,0.1951459,2,17
0.1752412,0.1668599,0.1512893,0.1180544,0.1508288,0.3922856,0.124312,0.1951459,0.1951459,0.1826959,0,18
0.1903711,0.1802892,0.1456876,0.1085745,0.1702581,0.4066083,0.1385117,0.1826959,0.1996881,0.1914715,4,19
0.2082186,0.1951783,0.1678831,0.1316256,0.1697598,0.4246901,0.1554443,0.1914715,0.2106573,0.2075428,5,20
0.2291008,0.2121342,0.1701966,0.1288201,0.1919142,0.4453304,0.174654,0.2075428,0.2293435,0.2217357,6,21
0.2359145,0.2175793,0.1507286,0.1100975,0.1997099,0.4524513,0.1808058,0.2217357,0.2287001,0.221041,2,22
0.2445639,0.2255635,0.1374147,0.09763472,0.2105487,0.460722,0.1898106,0.221041,0.2316043,0.2237512,3,23
0.2541728,0.2331409,0.1279726,0.08591235,0.2250181,0.4696316,0.1985588,0.2237512,0.2357641,0.2277724,3,24
0.2293649,0.2105919,0.1334204,0.0909391,0.2295398,0.476089,0.1655907,0.2277724,0.2325791,0.2193623,1,25
0.197752,0.2105919,0.1334204,0.0909391,0.2295398,0.476089,0.1314951,0.2193623,0.2193623,0.2099753,0,26
0.2053486,0.220292,0.1185641,0.07547055,0.2374897,0.4826629,0.1391705,0.2099753,0.2184945,0.2112855,2,27
0.2180069,0.230284,0.1338057,0.09094658,0.2233109,0.4937784,0.1494149,0.2112855,0.2239101,0.2199354,3,28
0.2403366,0.2393756,0.1360617,0.0941781,0.2536544,0.5121649,0.1697209,0.2199354,0.2446067,0.2350703,6,29
0.2403366,0.2393756,0.1164323,0.06934379,0.2536544,0.5121649,0.1697209,0.2350703,0.2350703,0.2287184,0,30
0.2496283,0.2229418,0.1068049,0.06060052,0.2655153,0.5196276,0.1790475,0.2287184,0.2398237,0.2291666,3,31
0.2562017,0.2035332,0.09294982,0.0475339,0.2702117,0.5259498,0.1851138,0.2291666,0.2364442,0.2259277,2,32
0.220325,0.1783299,0.09294982,0.0475339,0.2702117,0.5259498,0.1500594,0.2259277,0.2259277,0.2121942,0,33
0.2281702,0.1844101,0.07536699,0.03538759,0.2796635,0.5320762,0.1567013,0.2121942,0.2201845,0.2131108,2,34
0.2184394,0.1808377,0.1066506,0.06812218,0.3047145,0.5509064,0.1422329,0.2131108,0.237512,0.2245576,6,35
0.2328227,0.1999294,0.09671552,0.06403371,0.3203745,0.5612782,0.1565312,0.2245576,0.2410387,0.2330979,4,36
0.2535463,0.2186819,0.1243701,0.09494131,0.3117063,0.5773949,0.1756773,0.2330979,0.255749,0.2509026,6,37
0.2535463,0.2186819,0.09967954,0.06983655,0.3117063,0.5773949,0.1756773,0.2509026,0.2509026,0.243789,0,38
0.2535463,0.2186819,0.09967954,0.06983655,0.2795436,0.5773949,0.1756773,0.243789,0.243789,0.2391943,0,39
0.2372462,0.2318224,0.1284924,0.09535565,0.2989893,0.5887052,0.1554585,0.2391943,0.2576808,0.2480099,5,40
0.2756558,0.279558,0.1544841,0.1183035,0.3432877,0.6168145,0.1910224,0.2480099,0.291184,0.2827323,11,41
0.2845041,0.2859964,0.1435261,0.1047865,0.3518602,0.6228048,0.1997364,0.2827323,0.2924411,0.2847449,3,42
0.2554845,0.2922873,0.1589477,0.1189819,0.358428,0.6269991,0.1720623,0.2847449,0.2936545,0.283313,3,43
0.2601818,0.2962405,0.1378657,0.09676071,0.3615148,0.6316887,0.1751789,0.283313,0.2874962,0.2799187,1,44
0.2289369,0.2657894,0.1378657,0.09676071,0.3615148,0.6316887,0.1406083,0.2799187,0.2799187,0.2661664,0,45
0.2063662,0.245006,0.1474753,0.1065285,0.3683996,0.6389267,0.1142678,0.2661664,0.2743467,0.2609957,2,46
0.2063662,0.245006,0.1474753,0.1065285,0.3410847,0.6389267,0.1142678,0.2609957,0.2609957,0.2570936,0,47
0.1782033,0.2405547,0.1474753,0.1065285,0.3410847,0.6389267,0.08283772,0.2570936,0.2570936,0.2479444,0,48
0.1502345,0.2132269,0.1474753,0.1065285,0.3410847,0.6389267,0.0531262,0.2479444,0.2479444,0.2358004,0,49
0.1502345,0.1874657,0.1272158,0.08098329,0.3410847,0.6389267,0.0531262,0.2358004,0.2358004,0.2255767,0,50
0.1549904,0.19261,0.1310443,0.08613096,0.318937,0.6412932,0.05751759,0.2255767,0.2297948,0.2260748,1,51
0.1549904,0.19261,0.1310443,0.08613096,0.2910539,0.6412932,0.05751759,0.2260748,0.2260748,0.2220915,0,52
0.1549904,0.1680354,0.1076333,0.06151532,0.2910539,0.6412932,0.05751759,0.2220915,0.2220915,0.2117199,0,53
0.2025207,0.2010887,0.1261771,0.08611763,0.3402309,0.6683056,0.09922188,0.2117199,0.2549793,0.2462375,10,54
0.1872987,0.1879856,0.1424649,0.1011625,0.3504903,0.6754403,0.08078607,0.2462375,0.2585681,0.2465184,3,55
0.2054223,0.2068954,0.1610376,0.1203267,0.3504164,0.6851857,0.09683885,0.2465184,0.2638552,0.2608747,4,56
0.2054223,0.2068954,0.1610376,0.1203267,0.3285261,0.6851857,0.09683885,0.2608747,0.2608747,0.2577475,0,57
0.2171055,0.1912735,0.1471709,0.1067303,0.3404221,0.6901172,0.1090802,0.2577475,0.2693001,0.2574143,3,58
0.2171055,0.1667758,0.1191245,0.08088443,0.3404221,0.6901172,0.1090802,0.2574143,0.2574143,0.2462157,0,59
0.1945077,0.1730824,0.126765,0.09108489,0.349904,0.6940895,0.08502516,0.2462157,0.253793,0.2449227,2,60
0.1945077,0.1496299,0.1092099,0.06611523,0.349904,0.6940895,0.08502516,0.2449227,0.2449227,0.2354974,0,61
0.1919826,0.1786234,0.1378902,0.09702463,0.3732438,0.7073395,0.07778721,0.2354974,0.2604839,0.2519844,6,62
0.1810458,0.1850772,0.1587299,0.1163598,0.3896992,0.7157459,0.06506132,0.2519844,0.2686247,0.258817,4,63
0.1489216,0.1609359,0.1587299,0.1163598,0.3896992,0.7157459,0.03634385,0.258817,0.258817,0.2466766,0,64
0.1489216,0.1609359,0.1587299,0.1163598,0.3689182,0.7157459,0.03634385,0.2466766,0.2466766,0.2437079,0,65
0.1619486,0.136181,0.150043,0.1028815,0.375475,0.7198652,0.04993517,0.2437079,0.2543349,0.2423328,3,66
